req/minp,wamp_% Processor Time,wamp_% User Time,wamp_% Privileged Time,wamp_Virtual Bytes Peak,wamp_Virtual Bytes,wamp_Page Faults/sec,wamp_Working Set Peak,wamp_Working Set,wamp_Page File Bytes Peak,wamp_Page File Bytes,wamp_Private Bytes,wamp_Thread Count,wamp_Priority Base,wamp_ID Process,wamp_Creating Process ID,wamp_Pool Paged Bytes,wamp_Pool Nonpaged Bytes,wamp_Handle Count,wamp_IO Read Operations/sec,wamp_IO Write Operations/sec,wamp_IO Data Operations/sec,wamp_IO Other Operations/sec,wamp_IO Read Bytes/sec,wamp_IO Write Bytes/sec,wamp_IO Data Bytes/sec,wamp_IO Other Bytes/sec,wamp_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
548,0.780031201,0.624024961,0.15600624,132110336,131877546.7,249.8310529,30370474.67,30369109.33,34997589.33,34994176,34994176,67.33333333,8,5832,5276,170234.6667,54654.66667,266.5,0,6.833730892,6.833730892,425.7748368,0,1254.306477,1254.306477,11209.83751,21063680,0.2600104,0.07800312,0.18200728,836837376,760291328,9.967186442,648007680,365239637.3,687349760,663924053.3,663924053.3,41,8,4376,620,206117.3333,28346.66667,5032.666667,243.1793387,0.200010422,243.379349,37.61862695,126532.9269,418.1551232,126951.082,1044.521096,356728149.3
1741,4.678121704,3.352595163,1.325526541,184759637.3,184743253.3,95.16370458,56178688,56169130.67,76714666.67,76710570.67,76710570.67,68.33333333,8,5129.333333,5276,200389.3333,91202.66667,381.8333333,0,28.20666225,28.20666225,1655.606114,0,5518.839343,5518.839343,43445.51623,46393344,3.144991843,2.287362522,0.857629321,836837376,777942357.3,4.666096765,648007680,367191381.3,687349760,670360917.3,670360917.3,57.83333333,8,4376,620,211381.3333,48554.66667,5091.333333,3586.050817,30.14933338,3616.20015,525.2645078,1809261.137,715533.379,2524794.516,15133.9585,358679893.3
2244,4.680187207,3.068122725,1.612064483,189829802.7,189811370.7,254.9310233,58817877.33,58805589.33,80073386.67,80071338.67,80071338.67,69,8,3950,5276,203760,91418.66667,390.1666667,0,29.46834193,29.46834193,1742.915732,0,5683.489848,5683.489848,45709.16469,48714410.67,3.666146646,2.418096724,1.248049922,836837376,768854698.7,7.816938293,648007680,366856192,687349760,668639914.7,668639914.7,49.16666667,8,4376,620,209328,40168,5066,3196.876429,10.13394613,3207.010375,476.7960448,1578238.862,97712.35398,1675951.216,13513.94873,358344704
2267,5.070202808,3.328133125,1.742069683,188084224,188063744,124.173747,55332181.33,55315797.33,74976597.33,74973184,74973184,69,8,5080,5276,199888,82306.66667,379.1666667,0,37.68548169,37.68548169,2214.842935,0,7382.687555,7382.687555,58188.76732,45227349.33,4.004160166,2.730109204,1.274050962,836837376,773922816,0.250013857,648007680,367200938.7,687349760,670007296,670007296,54,8,4376,620,210224,44080,5081.333333,3793.781951,27.26821905,3821.05017,540.2973877,1895122.897,569990.9295,2465113.826,15961.57246,358689450.7
1810,3.848153926,2.886115445,0.962038482,232211797.3,232191317.3,220.0794012,75333632,75322709.33,107345237.3,107342506.7,107342506.7,69,8,5080,5276,226138.6667,113193.3333,461.6666667,0,29.81833365,29.81833365,1782.566379,0,5768.305559,5768.305559,46994.39553,65230848,3.094123765,2.054082163,1.040041602,836837376,783360000,5.183589843,648007680,367833088,687349760,672679253.3,672679253.3,63,8,4376,620,212576,53464,5111.333333,2961.999555,29.3350685,2991.334623,437.2578617,1464970.527,723524.9794,2188495.506,12510.50197,359321600
1181,2.444097764,1.716068643,0.728029121,254275584,254255104,67.38715817,85878101.33,85846016,124696576,124692480,124692480,69,8,5080,5276,239920,131688,506,0,20.61783692,20.61783692,1206.768488,0,4025.945129,4025.945129,31614.54419,75768490.67,2.730109204,1.898075923,0.832033281,836837376,792797184,0.533363452,648007680,368557397.3,687349760,675397632,675397632,72,8,4376,620,214928,62848,5140.666667,2282.230777,11.41731957,2293.648097,315.9681141,1126149.771,192299.3392,1318449.11,9600.816815,360045909.3
1028,2.782111284,1.612064483,1.170046802,254279680,254255104,52.15292759,85884928,85824170.67,124702720,124694528,124694528,69,8,5080,5276,232816,109693.3333,491.1666667,0,16.46759057,16.46759057,956.5036243,0,3191.995279,3191.995279,25189.61149,75780778.67,1.716068643,1.300052002,0.41601664,836837376,792797184,0.066670514,648007680,368599040,687349760,675397632,675397632,72,8,4376,620,214928,62848,5142,1272.922916,26.45150514,1299.374421,191.4609622,649624.5277,717253.9466,1366878.474,5368.97421,360087552
1105,2.495370843,1.559657402,0.935713441,254279680,254255104,62.80427333,85884928,85827584,124702720,124694528,124694528,69,8,5080,5276,233776,111914.6667,491,0,19.19621957,19.19621957,1118.212241,0,3714.416395,3714.416395,29283.32438,75784192,1.819505802,1.299728002,0.5197778,836837376,792797184,0.100005688,648007680,368603136,687349760,675397632,675397632,72,8,4376,620,214928,62848,5143,2238.012257,7.298128774,2245.310385,310.823614,1120466.252,74694.78748,1195161.039,9389.661056,360091648
901,1.768070723,1.170046802,0.598023921,254279680,254255104,51.51945453,85884928,85827584,124702720,124694528,124694528,69,8,5080,5276,231568,105597.3333,487.1666667,0,16.10086216,16.10086216,945.8678321,0,3193.818648,3193.818648,24941.69662,75784192,1.872074883,1.300052002,0.572022881,836837376,792797184,0.066670084,648007680,368603136,687349760,675397632,675397632,72,8,4376,620,214928,62848,5143,1694.221714,9.233876202,1703.45559,254.8130145,874652.1121,144467.3879,1019119.5,7153.775474,360091648
1404,2.314092563,1.664066563,0.650026001,256225280,255565824,79.22135702,87263232,87237973.33,126975317.3,126970538.7,126970538.7,69,8,5080,5276,240965.3333,131216,509.8333333,0,22.06794923,22.06794923,1313.993526,0,4232.279492,4232.279492,34496.86932,77194581.33,1.820072803,1.222048882,0.598023921,836837376,793496234.7,4.750268602,648007680,368680277.3,687349760,675632469.3,675632469.3,72.66666667,8,4376,620,215114.6667,63581.33333,5145.166667,1919.324938,23.26799202,1942.59293,288.2495738,946476.948,677508.7334,1623985.681,8103.923807,360168789.3
