req/minp,java_% Processor Time,java_% User Time,java_% Privileged Time,java_Virtual Bytes Peak,java_Virtual Bytes,java_Page Faults/sec,java_Working Set Peak,java_Working Set,java_Page File Bytes Peak,java_Page File Bytes,java_Private Bytes,java_Thread Count,java_Priority Base,java_Elapsed Time,java_ID Process,java_Creating Process ID,java_Pool Paged Bytes,java_Pool Nonpaged Bytes,java_Handle Count,java_IO Read Operations/sec,java_IO Write Operations/sec,java_IO Data Operations/sec,java_IO Other Operations/sec,java_IO Read Bytes/sec,java_IO Write Bytes/sec,java_IO Data Bytes/sec,java_IO Other Bytes/sec,java_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_Elapsed Time,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
14849,106.7758464,84.93214467,21.84370174,2764677120,2764677120,380.0403181,837758976,643364864,1086640128,747059882.7,747059882.7,167,8,2351.660737,4752,4972,184576,214946.6667,1718.166667,2213.321296,4.667311273,2217.988607,5879.47869,313549.1213,37766.62654,351315.7478,950987.1894,632580096,39.22464285,30.67308086,8.551561987,833306624,833131861.3,23.86961086,579772416,577301845.3,697016320,687934122.7,687934122.7,78.83333333,8,2916.55614,1088,636,143568,70888,955.6666667,1276.243506,1689.614788,2965.858294,4249.761026,52317011.38,78917892.92,131234904.3,192330.3822,568331605.3
15366,113.1207787,87.97943112,25.14134759,2764677120,2764677120,632.4414528,837758976,608705194.7,1086640128,710096213.3,710096213.3,167,8,2411.661404,4752,4972,184640,234387.3333,1717.833333,2297.533797,4.8332233,2302.36702,6096.840467,325488.6816,39271.89845,364760.58,985510.5874,597920426.7,43.96804056,34.89361941,9.074421143,833306624,833306624,83.75426624,579985408,577332565.3,697016320,688005802.7,688005802.7,79,8,2976.55634,1088,636,143568,79018.66667,961.1666667,1313.468504,1737.290596,3050.7591,4381.328539,53842974.57,81163467.98,135006442.6,198691.8959,568362325.3
12457,107.3161347,89.27353916,18.04259555,2764677120,2764677120,358.5559307,837758976,672129706.7,1086640128,771970389.3,771970389.3,167,8,2471.666004,4752,4972,180736,184084.6667,1697.833333,1977.544326,4.265760704,1981.810087,5236.522014,280152.0995,34479.91807,314632.0176,837102.0015,661344938.7,39.07981369,31.53946374,7.540349947,833484800,833306624,45.23556141,580091904,578405717.3,697016320,687127210.7,687127210.7,79,8,3036.55394,1088,636,143568,72864,965,1092.355162,1446.956413,2539.311575,3670.268619,44778882.04,67518542.97,112297425,165015.533,569435477.3
10792,112.4694149,89.38054637,23.08886848,2764677120,2764677120,13.78453219,837758976,593491968,1086640128,689078272,689078272,167,8,2531.662537,4752,4972,178528,183100,1686.333333,1600.459923,3.382887973,1603.842811,4265.953517,226729.4554,27271.83448,254001.2899,682763.497,582707200,37.5717437,30.55141789,7.020325813,834375680,833306624,36.26854634,580091904,577316181.3,697016320,685429418.7,685429418.7,79,8,3096.55154,1088,636,143568,73917.33333,967.8333333,917.4479616,1220.380442,2137.828403,3069.643599,37608916.49,56792492.93,94401409.42,138377.4588,568345941.3
10185,105.5503988,88.36204612,17.1883527,2764677120,2764677120,458.0452152,837758976,601303040,1086640128,697180160,697180160,167,8,2591.662871,4752,4972,177472,164819.3333,1680.5,1573.329928,3.367289819,1576.697217,4197.637156,222890.7701,27121.70898,250012.4791,670736.4402,590518272,37.59774491,30.5774191,7.020325813,834375680,833306624,3.733518471,580091904,578671274.7,697016320,686555136,686555136,79,8,3156.54914,1088,636,143568,70096,969.1666667,894.8955008,1187.893724,2082.789225,2980.668247,36684424.14,55296198.3,91980622.45,135030.9334,569701034.7
10493,106.7076955,89.62277265,17.08492284,2764677120,2764677120,146.4601409,837758976,552290986.7,1086640128,650913109.3,650913109.3,167,8,2651.660271,4752,4972,179712,203538.6667,1692.166667,1522.971261,3.217564833,1526.188825,4066.846033,215754.2619,25846.28154,241600.5435,649117.5967,541506218.7,34.13958442,28.44532015,5.694264271,834375680,833306624,2.66680637,580091904,579123882.7,697016320,686793386.7,686793386.7,79,8,3216.54674,1088,636,143568,82976,971,890.4961357,1185.111389,2075.607524,2964.870312,36504081.11,55133676.73,91637757.84,134721.7792,570153642.7
13060,107.6317467,87.09434608,20.53740061,2764677120,2764677120,636.5756578,837758976,601537877.3,1086640128,709560320,709560320,167,8,2711.658371,4752,4972,182528,201144.6667,1707.166667,1894.118156,3.983147994,1898.101304,5045.029954,268333.404,32204.0895,300537.4934,812033.6379,590753109.3,39.65184024,32.05948788,7.59235236,834375680,833306624,18.61772095,580091904,578560682.7,697016320,685768704,685768704,79,8,3276.54434,1088,636,143568,71674.66667,972,1096.223633,1450.225337,2546.44897,3658.373429,44937052,67683461.83,112620513.9,166020.4428,569590442.7
11675,99.26631986,80.60215693,18.66416294,2764677120,2764677120,314.0027485,837758976,622609066.7,1086640128,724777642.7,724777642.7,167,8,2771.659104,4752,4972,181216,181882.6667,1700,1883.390785,4.049659481,1887.440444,4992.539626,266813.6946,32742.10292,299555.7975,803607.4709,611824298.7,36.68174913,29.68847753,6.993271598,834375680,833306624,41.00201205,580512426.7,578355200,697016320,685198677.3,685198677.3,79,8,3336.54714,1088,636,143568,75744,977.1666667,1039.414788,1381.024898,2420.439686,3482.327391,42607878.56,64419285.29,107027163.9,157199.3747,569384960
9371,98.83058276,82.4176436,16.41293917,2764677120,2764677120,236.2276251,837758976,603366058.7,1086640128,715847680,715847680,167,8,2831.654771,4752,4972,177664,190877.3333,1681.666667,1357.815167,2.867689862,1360.682857,3636.260532,192357.1535,23137.83642,215494.9899,576495.7844,592581290.7,18.61686401,14.06665283,4.550211175,834375680,833131861.3,29.71816208,580777301.3,579577856,697016320,686584490.7,686584490.7,78.83333333,8,3396.55514,1088,636,143568,79856,979.3333333,791.491785,1057.555822,1849.047607,2640.639457,32445598.76,49089150.28,81534749.03,120020.1991,570607616
10757,95.97927715,78.24481754,17.73445959,2764677120,2764677120,159.6334983,837758976,589249194.7,1086640128,678970026.7,678970026.7,167,8,2891.659804,4752,4972,178848,170020.6667,1687.666667,1612.687494,3.416898714,1616.104393,4300.407986,228464.055,27512.42471,255976.4797,688975.712,578464426.7,22.88106191,16.79677954,6.084282371,834375680,833306624,14.93414217,581050368,579434496,697016320,685590528,685590528,79,8,3456.55274,1088,636,143568,70096,981,917.4479583,1219.030343,2136.478302,3072.727153,37608916.36,56730792.34,94339708.7,138966.6642,570464256
